status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.print_section,response.docs.print_page,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time,response.docs.subsection_name
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  Thousands of backers of the Palestine Liberation Organization marched here today in support of its agreement on mutual recognition with Israel. Dozens shook hands with Israeli soldiers while others carried olive branches and chanted slogans in support of the P.L.O. chairman, Yasir Arafat.   It was the first large peace march in Gaza since Arab-Israeli negotiations began in Madrid nearly two years ago.",https://www.nytimes.com/1993/09/11/world/mideast-accord-gaza-supporters-rally-for-plo-but-opposition-is-also-seen.html,,"Thousands of backers of the Palestine Liberation Organization marched here today in support of its agreement on mutual recognition with Israel. Dozens shook hands with Israeli soldiers while others carried olive branches and chanted slogans in support of the P.L.O. chairman, Yasir Arafat.",1,4,The New York Times,,,1993-09-11T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/2d763365-dcec-59f9-815c-0d03efc8a1ce,777,nyt://article/2d763365-dcec-59f9-815c-0d03efc8a1ce,"MIDEAST ACCORD: Gaza; Supporters Rally for P.L.O., But Opposition Is Also Seen",NA,NA,"MIDEAST ACCORD: Gaza; Supporters Rally for P.L.O., But Opposition Is Also Seen",NA,NA,NA,By Joel Greenberg,,NA,3371,10,43,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  Many of the 1.5 million Palestinians who live in the boxy concrete hovels that make up the refugee camps in and around Amman greeted the stunning news of an agreement between the Palestine Liberation Organization and Israel with a mixture of skepticism, anger and cautious encouragement today.   Jordanian officials estimate that perhaps as many as 500,000 of the refugees in Jordan may return to the land they or their families came from if a Palestinian enclave is created in the West Bank and the Gaza Strip.",https://www.nytimes.com/1993/09/10/world/mideast-accord-refugees-palestinians-reactions-anger-doubt-and-hope.html,,"Many of the 1.5 million Palestinians who live in the boxy concrete hovels that make up the refugee camps in and around Amman greeted the stunning news of an agreement between the Palestine Liberation Organization and Israel with a mixture of skepticism, anger and cautious encouragement today.",A,13,The New York Times,,,1993-09-10T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/1854704f-540f-53de-9ed2-5bfc2f37040e,1152,nyt://article/1854704f-540f-53de-9ed2-5bfc2f37040e,"MIDEAST ACCORD: Refugees; Palestinians' Reactions: Anger, Doubt and Hope",NA,NA,"MIDEAST ACCORD: Refugees; Palestinians' Reactions: Anger, Doubt and Hope",NA,NA,NA,By Chris Hedges,,NA,3371,10,43,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  Even as ink is drying on the recognition agreement between Israel and the Palestinian Liberation Organization, some Palestinians in Gaza and Jericho will begin the transition from being governed to governing themselves. They must face problems like those detailed below - illiteracy, gaps in the infrastructure and economic dependency on the very people they rebelled against.",https://www.nytimes.com/1993/09/12/weekinreview/the-world-the-palestinians-who-are-they.html,,"Even as ink is drying on the recognition agreement between Israel and the Palestinian Liberation Organization, some Palestinians in Gaza and Jericho will begin the transition from being governed to governing themselves. They must face problems like those detailed below - illiteracy, gaps in the infrastructure and economic dependency on the very people they rebelled against.",4,3,The New York Times,,,1993-09-12T05:00:00+0000,article,Week in Review Desk,Week in Review,News,nyt://article/769a17e3-97ec-5ce3-9fc7-34a2619add85,121,nyt://article/769a17e3-97ec-5ce3-9fc7-34a2619add85,The Palestinians: Who Are They?,THE WORLD,NA,THE WORLD; The Palestinians: Who Are They?,NA,NA,NA,By Anne Cronin,,NA,3371,10,43,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  The Clinton Administration has not been able to give Mayor David N. Dinkins much in the way of Federal aid to help his re-election effort, but it has now offered something more precious than gold: One of the 2,500 invitations to the photo opportunity of the decade, at the Mideast peace-signing ceremony at the White House tomorrow.",https://www.nytimes.com/1993/09/12/nyregion/dinkins-invited-to-signing.html,,"The Clinton Administration has not been able to give Mayor David N. Dinkins much in the way of Federal aid to help his re-election effort, but it has now offered something more precious than gold: One of the 2,500 invitations to the photo opportunity of the decade, at the Mideast peace-signing ceremony at the White House tomorrow.",1,48,The New York Times,,,1993-09-12T05:00:00+0000,article,Metropolitan Desk,New York,News,nyt://article/e43e4c5f-537f-5c52-972d-370cb9a9ed62,89,nyt://article/e43e4c5f-537f-5c52-972d-370cb9a9ed62,Dinkins Invited To Signing,NA,NA,Dinkins Invited To Signing,NA,NA,NA,NA,,NA,3371,10,43,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  In a landscape that shimmers with memory, hubris and hatred, a people emerged from the wilderness of its own history this week. The Palestinians, unaccompanied by their Arab brethren, strode into a new era alongside their old enemy, the Israelis.",https://www.nytimes.com/1993/09/12/weekinreview/palestinians-in-the-end-go-it-alone.html,,"In a landscape that shimmers with memory, hubris and hatred, a people emerged from the wilderness of its own history this week. The Palestinians, unaccompanied by their Arab brethren, strode into a new era alongside their old enemy, the Israelis.",4,1,The New York Times,,,1993-09-12T05:00:00+0000,article,Week in Review Desk,Week in Review,News,nyt://article/18ca4e6e-4143-51c3-82a2-a13ea4bed441,1330,nyt://article/18ca4e6e-4143-51c3-82a2-a13ea4bed441,"Palestinians, In the End, Go It Alone",NA,NA,"Palestinians, In the End, Go It Alone",NA,NA,NA,By Youssef M. Ibrahim,,NA,3371,10,43,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  In a mood of resignation and quiet satisfaction, top leaders of the Palestine Liberation Organization continued their final deliberations tonight on texts of agreements with Israel. And senior P.L.O. officials appeared to have made breakthroughs in taming opposition to the accords by Muslim militants and the organization's leftist flank.   A senior official asserted that the P.L.O. leadership in Tunis had succeeded in persuading Sheik Ahmad Yassin, the spiritual leader of the Palestinian Muslim militant Hamas movement in the Gaza Strip, who is held by the Israelis, to issue a statement calling on his followers not to use violence to demonstrate their opposition to the deal.",https://www.nytimes.com/1993/09/10/world/mideast-accord-the-plo-plo-lining-up-palestinian-support-for-accord.html,,"In a mood of resignation and quiet satisfaction, top leaders of the Palestine Liberation Organization continued their final deliberations tonight on texts of agreements with Israel. And senior P.L.O. officials appeared to have made breakthroughs in taming opposition to the accords by Muslim militants and the organization's leftist flank.",A,1,The New York Times,,,1993-09-10T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/5b953b3e-6066-5f43-bdf7-52e380b67f55,1153,nyt://article/5b953b3e-6066-5f43-bdf7-52e380b67f55,MIDEAST ACCORD: The P.L.O.; P.L.O. Lining Up Palestinian Support for Accord,NA,NA,MIDEAST ACCORD: The P.L.O.; P.L.O. Lining Up Palestinian Support for Accord,NA,NA,NA,By Youssef M. Ibrahim,,NA,3371,10,43,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  Nearly 16 years after Anwar el-Sadat boldly visited Jerusalem and became the first Arab leader to offer peace to Israel, Egypt is drawing great satisfaction from the agreement between Israel and the Palestine Liberation Organization.   Not only did Egypt play a role in helping to broker the deal, as the only Arab nation having relations with Israel, but also the agreement for limited Palestinian self-rule is seen as part of a process begun by President Sadat, who first pushed for some form of Palestinian autonomy at the Camp David talks with Israel in 1978. Mr. Sadat was assassinated by Islamic militants in 1981.",https://www.nytimes.com/1993/09/11/world/mideast-accord-egypt-once-ostracized-cairo-feels-vindicated-by-accord.html,,"Nearly 16 years after Anwar el-Sadat boldly visited Jerusalem and became the first Arab leader to offer peace to Israel, Egypt is drawing great satisfaction from the agreement between Israel and the Palestine Liberation Organization.",1,5,The New York Times,,,1993-09-11T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/c81fec3c-743e-5b1c-a712-e8e848ff743b,983,nyt://article/c81fec3c-743e-5b1c-a712-e8e848ff743b,"MIDEAST ACCORD: Egypt; Once Ostracized, Cairo Feels Vindicated by Accord",NA,NA,"MIDEAST ACCORD: Egypt; Once Ostracized, Cairo Feels Vindicated by Accord",NA,NA,NA,By William E. Schmidt,,NA,3371,10,43,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  Peace and Prayer    Liturgy, the language of prayer, is not something religious leaders like to write on deadline. But with Rosh ha-Shanah, the Jewish New Year, just a few days away and events in Israel proceeding toward peace at lightning speed, rabbis are revising.   Yesterday, with the accord between Israel and the Palestine Liberation Organization freshly signed, the United Jewish Appeal added a prayer to the responsive reading it published several weeks ago for the holiday.",https://www.nytimes.com/1993/09/11/us/religion-notes.html,,Peace and Prayer,1,27,The New York Times,,,1993-09-11T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/87a96e71-7ce3-5114-9238-79853b108904,755,nyt://article/87a96e71-7ce3-5114-9238-79853b108904,Religion Notes,NA,NA,Religion Notes,NA,NA,NA,By Ari L. Goldman,,NA,3371,10,43,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  Ten Damascus-based Palestinian groups have called a general strike for Monday, when the P.L.O.'s peace agreement with Israel is to be signed in Washington.    A spokesman for the groups said Palestinians in the Israeli-occupied territories and in refugee camps in Syria, Jordan and Lebanon had been asked to mark ""the black day in which the national rights of the Palestinian people are given up"" with strikes and protest marches.",https://www.nytimes.com/1993/09/12/world/mideast-accord-10-palestinian-factions-call-for-broad-strike-on-monday.html,,"Ten Damascus-based Palestinian groups have called a general strike for Monday, when the P.L.O.'s peace agreement with Israel is to be signed in Washington.",1,14,The New York Times,,,1993-09-12T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/2a9e4a4f-7c69-5779-98a1-b8c3876cddb5,113,nyt://article/2a9e4a4f-7c69-5779-98a1-b8c3876cddb5,Mideast Accord; 10 Palestinian Factions Call For Broad Strike on Monday,NA,NA,Mideast Accord; 10 Palestinian Factions Call For Broad Strike on Monday,NA,NA,NA,Reuters,,Reuters,3371,10,43,NA
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"  The United States will resume a dialogue with the Palestine Liberation Organization, now that it has accepted Israel's right to exist and renounced terrorism, senior White House officials said today.   President Clinton was prepared to announce the policy shift at a ceremony in the Rose Garden this afternoon, but postponed it until Friday, pending the signing of the declaration of mutual recognition by the P.L.O. and Israel, the officials said.",https://www.nytimes.com/1993/09/10/world/mideast-policy-us-policy-washington-to-restart-talks-with-plo.html,,"The United States will resume a dialogue with the Palestine Liberation Organization, now that it has accepted Israel's right to exist and renounced terrorism, senior White House officials said today.",A,14,The New York Times,,,1993-09-10T05:00:00+0000,article,Foreign Desk,World,News,nyt://article/d92f30a6-1f53-5459-a988-64ecb797eade,935,nyt://article/d92f30a6-1f53-5459-a988-64ecb797eade,MIDEAST POLICY: U.S. Policy; Washington to Restart Talks With P.L.O.,NA,NA,MIDEAST POLICY: U.S. Policy; Washington to Restart Talks With P.L.O.,NA,NA,NA,By Elaine Sciolino,,NA,3371,10,43,NA
